name,description,coverImage,cards,privacy,language,deleted,createdAt,updatedAt
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ð?ng t? nhóm 3(passe compose),,,"### Card 1
Front
* apprendre

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/17542ba93d1e7dbecd7f14dbab705c10)

### Card 2
Front
* s’assesoir(seat)

Back
* je suis assis

### Card 3
Front
* cuire

Back
* cuit(bake, cook)

### Card 4
Front
* dire

Back
* dit

### Card 5
Front
* écrire

Back
* écrit

### Card 6
Front
* frire

Back
* frit(fry)

### Card 7
Front
* fuir

Back
* fui(escape)

### Card 8
Front
* mettre

Back
* mis(put)

### Card 9
Front
* prendre

Back
* pris(take)

### Card 10
Front
* promettre

Back
* promis(promise)

### Card 11
Front
* remettre

Back
* remis(reset)

### Card 12
Front
* rire

Back
* ri(laugh)

### Card 13
Front
* avoir

Back
* eu

### Card 14
Front
* boire

Back
* bU

### Card 15
Front
* croire

Back
* crU(believe)

### Card 16
Front
* décevoir

Back
* déçu(dissapoint)

### Card 17
Front
* élire

Back
* élu(elect=d?c c?)

### Card 18
Front
* lire

Back
* lu

### Card 19
Front
* plaire

Back
* plu(please)

### Card 20
Front
* pleuvoir

Back
* plu(rain)

### Card 21
Front
* pouvoir

Back
* pu(can)

### Card 22
Front
* prévoir

Back
* prévu(provide)

### Card 23
Front
* recevoir

Back
* reçu(receive)

### Card 24
Front
* savoir

Back
* su(know)

### Card 25
Front
* se taire

Back
* shut up(tu)

### Card 26
Front
* voir

Back
* vu(see)

### Card 27
Front
* vouloir

Back
* voulu(want)

### Card 28
Front
* devoir(must)

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/20fe91105cdaa274d8a429bdadaf174a)

### Card 29
Front
* être

Back
* été

### Card 30
Front
* faire

Back
* fait

### Card 31
Front
* offrir(offer)

Back
* offert

### Card 32
Front
* mourir(die)

Back
* mort

### Card 33
Front
* naitre(born)

Back
* né

### Card 34
Front
* condUIRE(conduct, drive)

Back
* condUIT

### Card 35
Front
* constrUIRE(construct)

Back
* constrUIT

### Card 36
Front
* tradUIRE(translate)

Back
* tradUIT

### Card 37
Front
* éteINDRE(turn off)

Back
* éteINT

### Card 38
Front
* peINDRE(paint)

Back
* peINT

### Card 39
Front
* joINDRE(join)

Back
* joINT

### Card 40
Front
* connaître(know)

Back
* connu

### Card 41
Front
* tenir(hold)

Back
* tenu

### Card 42
Front
* attendre(wait)

Back
* attendu

### Card 43
Front
* courir

Back
* couru

### Card 44
Front
* descendre

Back
* descendu

### Card 45
Front
* disparaître(disappear)

Back
* disparu

### Card 46
Front
* entendre(hear)

Back
* entendu

### Card 47
Front
* plaire(please)

Back
* plu

### Card 48
Front
* pleuvoir(rain)

Back
* plu

### Card 49
Front
* recevoir(receive)

Back
* reçu

### Card 50
Front
* rendre(return)

Back
* rendu

### Card 51
Front
* répondre(respond)

Back
* répondu

### Card 52
Front
* vendre(sell)

Back
* rendu

### Card 53
Front
* vivre(live)

Back
* vécu

### Card 54
Front
* sourire(smile)

Back
* souri",Everyone,en,FALSE,26-11-19 15:39,20-05-20 17:24
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ð?ng t? nhóm 3(future simple),,,"### Card 1
Front
* aller

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/adbfaeb390e3395a4362108c8b1b9b72)

### Card 2
Front
* appeler

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/47b9ac811c73ce4dff2f4c2384a3a08c)

### Card 3
Front
* avoir

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/9919f2cbf295a9ea691b25e45440378e)

### Card 4
Front
* devenir

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/006cc8f54da0461a5f6bab3036a6a047)

### Card 5
Front
* devoir

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/ea24219ea563eeea3fc5069c92df9561)

### Card 6
Front
* envoyer

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/5bcb6f63ccd5b29e5cb5a20d37653c71)

### Card 7
Front
* être

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/a71f23a306ea7e7989169485d5adc234)

### Card 8
Front
* faire

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/cda1f822eabd95c170675d58cadfe83c)

### Card 9
Front
* lever

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/f6deee9c38a4718c06cb5672d56401ba)

### Card 10
Front
* obtenir

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/1e6affa72d35f494af8213c1747da557)

### Card 11
Front
* payer

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/34858b4cf4c8a98ca0e826861d6bc4a8)

### Card 12
Front
* pouvoir

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/ccea7e7967626b0e2626fb0eb6889b06)

### Card 13
Front
* recevoir

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/37451ae3593a89ccfd033fd4bbfcb439)

### Card 14
Front
* savoir

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/f17bf38c5c2329c21148d4c5656bff55)

### Card 15
Front
* voir

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/476365d864dc8f8c5659cbb8fdad45c4)

### Card 16
Front
* vouloir

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/7b67e7a155d477af03417a09e52e355f)

### Card 17
Front
* venir(come)

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/37ff9008d2222a01056833d87b338ab0)

### Card 18
Front
* mourir(die)

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/0cd9411c854f2157cac76cbde6509cf4)

### Card 19
Front
* accueillir(meet)

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/d31fe31a1067a9e98980bc683e0e06ed)

### Card 20
Front
* tenir(hold)

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/947346b1d791b84432e069ffdc71a30f)

### Card 21
Front
* courir(run)

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/e5ecef027179b6c484df78138015381f)

### Card 22
Front
* valoir(cost)

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/4af522b5191d0f5bb1e48cb25a4990e4)

### Card 23
Front
* falloir(need to)

Back
* il faudra

### Card 24
Front
* pleuvoir

Back
* il pleuvra

### Card 25
Front
* s’asseoir(sit)

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/7dfe9970669ac5fd172acc2ceff25296)

### Card 26
Front
* prendre

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/06e3a1f473fc719d09853942ee9a6b70)

### Card 27
Front
* écrire

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/3dd67495ca9fa7b437df09e6c2c37a08)

### Card 28
Front
* attendre

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/076b8995d0f45d520f7976690d712df8)

### Card 29
Front
* vendre

Back
* ![image](https://d9np3dj86nsu2.cloudfront.net/image/28aeb8baf6ec32aff88bdb12cb2f36f8)",Everyone,en,FALSE,14-03-20 23:23,19-04-20 12:02
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Noncategorical 2,This collection is the sum of my mistakes during the time I study in Duolingo,,"### Card 1
Front
* La population est vieille

Back
* The population is old

### Card 2
Front
* plus tard

Back
* later

### Card 3
Front
* He tries again later

Back
* Il essaie à nouveau plus tard

### Card 4
Front
* Commencez maintenant!

Back
* Start now!

### Card 5
Front
* le banlieue

Back
* suburbs

### Card 6
Front
* Comment se passe ta retraite?

Back
* How is your retirement going?

### Card 7
Front
* cru

Back
* raw(adj)

### Card 8
Front
* le lion mange un poulet cru

Back
* The lion is eating a raw chicken

### Card 9
Front
* Je n'ai pas une telle robe!

Back
* I do not have such a dress!

### Card 10
Front
* comment répondons-nous à ces lettres?

Back
* How do we respond to these letters?

### Card 11
Front
* durant la nuit

Back
* during the night

### Card 12
Front
* je me repose

Back
* I rest

### Card 13
Front
* C'est une assiette de riz

Back
* it is a plate of rice

### Card 14
Front
* outlet

Back
* price

### Card 15
Front
* les serviettes de table

Back
* the napkins

### Card 16
Front
* J'ai une téléphone fixe

Back
* I have a landline

### Card 17
Front
* lourd

Back
* heavy

### Card 18
Front
* C'est pire

Back
* It is worse

### Card 19
Front
* Ma crêpe est fine

Back
* My crepe is thin

### Card 20
Front
* She lies

Back
* elle ment

### Card 21
Front
* vous partez déjà?

Back
* Are you leaving already?

### Card 22
Front
* J'agis

Back
* I am taking action

### Card 23
Front
* le vin agit

Back
* the wine is taking effect

### Card 24
Front
* votre fils est brun

Back
* your son is dark-haired

### Card 25
Front
* nous sommes les meilleurs

Back
* We are the best

### Card 26
Front
* Nous n'avons aucun disque

Back
* we do not have any discs

### Card 27
Front
* Après, ça a marché

Back
* Afterwards it worked

### Card 28
Front
* Un jour, il a disparu pour de bon

Back
* one day, he dissapeared for good

### Card 29
Front
* Il a réussi!

Back
* He succeeded

### Card 30
Front
* Je ne vous ai pas entendu

Back
* I did not hear you

### Card 31
Front
* Il a arrêté la voiture

Back
* He stopped the car

### Card 32
Front
* Quelle date as-tu prévue?

Back
* What date have you planned?

### Card 33
Front
* Personne ne m'a cru au début

Back
* Nobody believed me at first

### Card 34
Front
* Tournez-vous vers l'entrée

Back
* Turn toward the entrance

### Card 35
Front
* L'intérieur du château est très grand

Back
* The inside of the castle is wide

### Card 36
Front
* J'ai marché en direction du parc

Back
* I walked towards the park

### Card 37
Front
* L'enfant fait un pas

Back
* The child takes a step

### Card 38
Front
* pas

Back
* step(noun)

### Card 39
Front
* sale

Back
* dirty

### Card 40
Front
* L'extérieur de verre est sale

Back
* The outside of that glass is dirty

### Card 41
Front
* panneau

Back
* sign

### Card 42
Front
* Au sud

Back
* to the south

### Card 43
Front
* ce plan a marché

Back
* This plan has worked

### Card 44
Front
* Nous nous tournons en direction du nord

Back
* we are turning north

### Card 45
Front
* Il va vers l'est

Back
* He goes to the easst

### Card 46
Front
* Je vais vers l'ouesst

Back
* I am going to the west

### Card 47
Front
* le fond

Back
* the bottom

### Card 48
Front
* inverse

Back
* opposite(adj)

### Card 49
Front
* as tu eu un chien?

Back
* have you had a dog?

### Card 50
Front
* Du moins,

Back
* At least,

### Card 51
Front
* où avait allaient ils?

Back
* where were they  going?

### Card 52
Front
* Je ne voyais personne

Back
* I saw no one

### Card 53
Front
* Il a beaucoup bu hier

Back
* He drank a lot yesterday

### Card 54
Front
* Où cela s'est-il passé?

Back
* where did that happen?

### Card 55
Front
* souvenues

Back
* recalled

### Card 56
Front
* Je aimais les moins aimé elle

Back
* I loved them less than her

### Card 57
Front
* Elle a tiré ma chemise

Back
* She pulled my shirt

### Card 58
Front
* il a conçu la voiture

Back
* He designed the car

### Card 59
Front
* Il m'a atteinte

Back
* He reached me

### Card 60
Front
* J'ai raté mon diner

Back
* I spoiled(làm h?ng) my dinner.

### Card 61
Front
* Deux plus deux ""égale"" quatre

Back
* Two plus two equals fours

### Card 62
Front
* un milliard

Back
* one billion

### Card 63
Front
* millions

Back
* millions

### Card 64
Front
* chiffres

Back
* numbers

### Card 65
Front
* Il y a une ""dizaine"" de livres

Back
* There are about ""ten"" books

### Card 66
Front
* ils sont des centaines de millions

Back
* They are hundreds of millions

### Card 67
Front
* bizzarres

Back
* weird

### Card 68
Front
* Tu as des pensées bizarres

Back
* you have weird thoughts

### Card 69
Front
* peur

Back
* fear(noun)

### Card 70
Front
* C'est un plaisir pour nous

Back
* It is a pleasure for us

### Card 71
Front
* bonheur

Back
* happiness

### Card 72
Front
* un grand moment de bonheur

Back
* A great moment of happiness

### Card 73
Front
* C'est l'amour parfait

Back
* It is perfect love

### Card 74
Front
* Nous avons "" rêvé"" de notre voiture

Back
* We dreamed of our car

### Card 75
Front
* goût

Back
* taste

### Card 76
Front
* Elle aime le goût des fraises

Back
* She likes the taste of strawberries

### Card 77
Front
* sentiment

Back
* feeling

### Card 78
Front
* elle joue avec nos sentiments

Back
* She is playing with our feelings

### Card 79
Front
* Où est le tribunal?

Back
* Where is the courthouse?

### Card 80
Front
* honte

Back
* shame(noun)

### Card 81
Front
* J'ai honte

Back
* I feel ashamed

### Card 82
Front
* Il est populaire parmi ses collègues.

Back
* he is popular among his colleagues

### Card 83
Front
* envier

Back
* desire

### Card 84
Front
* pleurer

Back
* cry

### Card 85
Front
* Il a envie de pleurer

Back
* He feels like crying

### Card 86
Front
* Nous lisons nos documents et vous les vôtres

Back
* We read our documents and you read yours

### Card 87
Front
* Mon couteau ne coupe plus

Back
* My knife no longer cuts

### Card 88
Front
* la cuillère

Back
* the spoon

### Card 89
Front
* comment être juste

Back
* How to be fair

### Card 90
Front
* tranquille

Back
* quiet

### Card 91
Front
* L'eau est tranquille

Back
* The water is still

### Card 92
Front
* être amoureuse

Back
* to be in love

### Card 93
Front
* Elle semle être amoureuse de mon frère

Back
* She seems to be in love with my brother.

### Card 94
Front
* Un moment magicque

Back
* A magical moment

### Card 95
Front
* au prochain panneau, tournez à droite

Back
* at the next road sign, turn right

### Card 96
Front
* faire demi-tour

Back
* turn back/turn around

### Card 97
Front
* mince

Back
* thin

### Card 98
Front
* le plafond

Back
* the ceilling

### Card 99
Front
* haut

Back
* high(adj)

### Card 100
Front
* profond

Back
* deep(adj)

### Card 101
Front
* Sauf un !

Back
* Except one !

### Card 102
Front
* Chacun

Back
* each

### Card 103
Front
* Chacun est libre de choisir

Back
* Each is free to choose

### Card 104
Front
* Il mange n'importe quoi

Back
* He eats anything

### Card 105
Front
* n'importe quoi

Back
* anything/whatever

### Card 106
Front
* C'est le même

Back
* It is the same

### Card 107
Front
* C'est faible

Back
* It is weak

### Card 108
Front
* une dame

Back
* A lady

### Card 109
Front
* étranger

Back
* foreign

### Card 110
Front
* Est-ce ""grave""?

Back
* Is it ""serious""?

### Card 111
Front
* voir c'est croire

Back
* seeing is believing

### Card 112
Front
* I am afraid of falling

Back
* J'ai peur de tomber

### Card 113
Front
* c'est naturel d'avoir peur de ""mourir""

Back
* it's natural to be afraid of ""dying""

### Card 114
Front
* poubelle

Back
* trash can(thùng rác)

### Card 115
Front
* jeter

Back
* throw

### Card 116
Front
* cet ""outil"" marche bien

Back
* this tool works weell

### Card 117
Front
* couvert

Back
* cutlery(dao kéo)

### Card 118
Front
* le douche

Back
* shower(vòi hoa sen)

### Card 119
Front
* propre

Back
* clean

### Card 120
Front
* Qu'est-ce qu'il ""branche""?

Back
* What does he connect?

### Card 121
Front
* Elle n'a aucun effet sur moi

Back
* She does not have any effect on me.

### Card 122
Front
* tu suis son exemple

Back
* you are following his example

### Card 123
Front
* Quelle faire dans une telle situation?

Back
* What to do in such a situation?

### Card 124
Front
* le genre

Back
* kind/sort

### Card 125
Front
* la confiance

Back
* confidence

### Card 126
Front
* l'avenir

Back
* future

### Card 127
Front
* besoin

Back
* need

### Card 128
Front
* Il a besoin de moi

Back
* He needs me

### Card 129
Front
* Un fois ou deux fois?

Back
* Once or twice?

### Card 130
Front
* Mon frère mange deux fois plus que moi

Back
* My brother eats twice as much as i do

### Card 131
Front
* le moyen

Back
* way

### Card 132
Front
* il n'y a qu'un seul

Back
* There is only one

### Card 133
Front
* il n'y a qu'un seul moyen

Back
* There is only one way

### Card 134
Front
* J'ai lu ça dans la presse

Back
* I read that in the press

### Card 135
Front
* Il a mis fin à la ""conversation""

Back
* He puts an end to the conversation.

### Card 136
Front
* Je suis en communication avec lui.

Back
* I'm in communication with him.

### Card 137
Front
* J'a entends cris

Back
* I hear screams

### Card 138
Front
* Entends-tu des voix?

Back
* Do you hear voices?

### Card 139
Front
* vous avez un appel!

Back
* You have a call

### Card 140
Front
* that is not a sentence

Back
* Ce n'est pas un phrase.

### Card 141
Front
* Quel est ce ""argument""?

Back
* What is this argument?

### Card 142
Front
* Pas des nouvelles, bonnes nouvelles

Back
* No news is good news

### Card 143
Front
* Savoir

Back
* knowledge

### Card 144
Front
* Je suis en contact avec elle.

Back
* I am in contact with her.

### Card 145
Front
* mes parents entendent vos commentaires

Back
* my parents hear your comments

### Card 146
Front
* Tous les commentaires n'ont pas été ""positifs""

Back
* not all the reviews were positive.

### Card 147
Front
* C'est un lieu de ""recontre""

Back
* It is a meeting place

### Card 148
Front
* Leur ""avis"" sont différents

Back
* Their opinions are different

### Card 149
Front
* la ""demande"" est forte en cette ""saison""

Back
* Demand is high in this season.

### Card 150
Front
* bonjour

Back
* hello",Everyone,en,FALSE,15-10-18 1:58,14-04-20 21:57
,,,,,,,,
Mistake duolingo 3,,,"### Card 1
Front
* Le SOLDAT nettoie ses outils

Back
* The soldier is cleaning his tools

### Card 2
Front
* Les horloges noires ne marchent pas

Back
* the black clocks are not working",Everyone,en,TRUE,25-11-18 22:27,14-04-20 21:55
,,,,,,,,
,,,,,,,,
French class Marie 14.10,,,"### Card 1
Front
* deviner.  Devine comment il s'appelle.

Back
* guess

### Card 2
Front
* la campagne

Back
* countryside

### Card 3
Front
* loin. loin de la ville

Back
* far

### Card 4
Front
* faire des feux

Back
* make fire

### Card 5
Front
* regaler .je vais me régaler !

Back
* thi?t dãi.Tôi s? t?n hu?ng nó

### Card 6
Front
* prendre des cours de + môn h?c

Back
* tham gia l?p h?c nào

### Card 7
Front
* faire de la luge

Back
* tru?t bang

### Card 8
Front
* la premier fois

Back
* the first time

### Card 9
Front
* peut être

Back
* may be

### Card 10
Front
* même. Ils vont meme peut etre essayer de monter sur des skis pour la premiere fois

Back
* even. they may even be trying to get on skis for the first time

### Card 11
Front
* rires

Back
* laugh

### Card 12
Front
* très  drôle

Back
* very funny

### Card 13
Front
* la plage

Back
* the beach

### Card 14
Front
* monter

Back
* climb, ascend

### Card 15
Front
* cocher. Coche les bonnes reponses

Back
* check, tick",Everyone,en,TRUE,16-10-19 20:18,14-04-20 21:23
Direction + gi?i t? ch? v? trí + giao thông,,,"### Card 1
Front
* Sur ta gauche!

Back
* on your left

### Card 2
Front
* intérieur

Back
* inside

### Card 3
Front
* Je tourne à droite

Back
* I am turning right

### Card 4
Front
* Ces positions n'existent pas

Back
* Those positions n'existent pas

### Card 5
Front
* entrée

Back
* hall

### Card 6
Front
* La Terre tourne

Back
* The earth turns

### Card 7
Front
* Nous tournons notre chaise vers la fenêtre

Back
* We turn our chair toward the window

### Card 8
Front
* Elle est au centre du village

Back
* It is in the center of the village

### Card 9
Front
* Il y a un panneau rouge avec un ""croix"" blanch

Back
* There is a red sign with a white ""cross""

### Card 10
Front
* Elle ""fait un pas dans"" le jardin

Back
* She steps into the garden

### Card 11
Front
* Les femmes passent ""l'arrivée"" en voiture

Back
* The women cross ""the finish line"" by car

### Card 12
Front
* ""L'extérieur"" de ce bol est sale

Back
* The outside of that bowl is dirty

### Card 13
Front
* La sortie est ici

Back
* The exit is here

### Card 14
Front
* je regarde ""en direction du"" jeune roi

Back
* I look ""toward"" the young king

### Card 15
Front
* L'arrivée est à Paris

Back
* The arrival is in Paris

### Card 16
Front
* Ce n'est pas une ""si"" grande distance

Back
* It is not such a big distance

### Card 17
Front
* Je suis perdu

Back
* I'm lost

### Card 18
Front
* longez-la et, au feu, tournez a` gauche

Back
* walk along it and at the traffic lights, turn left

### Card 19
Front
* prenez la premie`re rue a` droite

Back
* take the first street on the right

### Card 20
Front
* Il y a un pont 200 me`tres plus loin

Back
* There is a bridge 200 meters away

### Card 21
Front
* traversez-le !

Back
* cross it !

### Card 22
Front
* après

Back
* next to

### Card 23
Front
* tracez l'itinéraire

Back
* trace the route

### Card 24
Front
* continuez/allez + tout droit/en direction de ../a` gauche/a` droite

Back
* continue / go + straight ahead / towards ../ left / right

### Card 25
Front
* tournez + a` gauche/a` droite

Back
* turn left/right

### Card 26
Front
* prenez + la premie`re rue/sur la droite/a` gauche

Back
* take + the first street / on the right / left

### Card 27
Front
* traversez le pont

Back
* cross the bridge

### Card 28
Front
* longez la station-service/le parc

Back
* walk along the gas station/the park

### Card 29
Front
* carrefour

Back
* crossroads

### Card 30
Front
* feu (n)

Back
* fire (n)

### Card 31
Front
* jusque(prepo)

Back
* until

### Card 32
Front
* loin (adv)

Back
* far

### Card 33
Front
* te´le´phonez a` la standardiste

Back
* call the operator

### Card 34
Front
* indiquez bien l'endroit o`u vous êtes

Back
* indicate the place where you are

### Card 35
Front
* longez d'abord. Longez d'abordl e parking.

Back
* wark along. walk along the parking.

### Card 36
Front
* Allez tout droit jusqu'au. Allez tout droit jusqu'au feu rouge

Back
* Go straight until. go straight until the red light.

### Card 37
Front
* tout-terrain. Elle a acheté un vélo tout-terrain.

Back
* all terrain(t?t c? các d?a hình)

### Card 38
Front
* vélo de cours

Back
* race bike

### Card 39
Front
* un antivol

Back
* a lock

### Card 40
Front
* entre. Le cinéma est entre la gare et le théâtre

Back
* between

### Card 41
Front
* sur la place du marché. La pharmacie est sur la place du marché

Back
* on the market place

### Card 42
Front
* être au bout de. La bibliothèque au bout de l'avenue Foch.

Back
* at the end of

### Card 43
Front
* être en face de = devant

Back
* in front of

### Card 44
Front
* être à droit. La poste est à droite de l'hôpital

Back
* on the right

### Card 45
Front
* être dans le. La gare est dans l'avenue Foch.

Back
* to be in the. The station is in avenue Foch.

### Card 46
Front
* être à côte de. L'hopital est à côte de la place.

Back
* be next to sthing

### Card 47
Front
* passer à. Passer à la pharmacie

Back
* go to the pharmacie.

### Card 48
Front
* rendre. rendre un livre à la bibliothique.

Back
* return

### Card 49
Front
* ""au coin du"" boulevard des mare´chaux

Back
* at the corner of

### Card 50
Front
* traversez la rivière

Back
* cross the river

### Card 51
Front
